,mfcc
134,"[-5.3494849e+02  7.6709282e+01 -8.5417538e+00  1.0723011e+01
 -1.9999826e+00  1.0477015e+01 -6.7785006e+00 -8.6957741e+00
 -1.6945854e+01 -1.5877259e+00 -1.0487455e+01 -1.0374036e+01
 -4.4862878e-01]"
135,"[-566.25275     81.62162     -4.4878087   11.142808    -5.5448284
    9.263539    -1.938658    -5.729065   -17.46412      0.7913435
   -9.94414     -7.5398693    3.1809573]"
136,"[-4.06517853e+02  8.56655273e+01 -1.56099520e+01  1.36378145e+01
 -1.40661306e+01  4.49303865e+00 -1.00411682e+01 -9.80725288e+00
 -1.97742214e+01 -3.91961873e-01 -1.22755995e+01 -1.27465305e+01
  2.36236739e+00]"
137,"[-370.32614      85.264206    -30.127483     15.283482    -15.47389
   -0.53335303  -10.198974     -9.261453    -21.046253     -4.788658
  -12.611464    -14.373983      2.9385746 ]"
138,"[-311.0444      75.94605    -20.118921    15.334812   -22.201649
    4.2112913  -12.91109     -1.068345   -23.443893    -4.9490333
  -15.360144   -15.668371    -4.29007  ]"
139,"[-395.8622      76.88548    -14.036878     9.544725   -12.597051
    9.206337    -6.0953426   -7.5516562  -16.489784    -1.9021349
  -10.883295   -11.684163     2.5537825]"
140,"[-655.7126     107.97624     -1.1160163   14.442805     1.1251936
   16.936321    -5.5046096   -2.1882076  -12.507309     1.0804392
   -6.5235023   -6.118942     1.0510329]"
141,"[-6.5331592e+02  1.0317422e+02  4.3710551e+00  1.5232474e+01
  2.4574442e+00  1.7107817e+01 -6.6529770e+00 -1.4913931e+00
 -1.0695456e+01  2.4016826e+00 -3.4433477e+00 -5.2211971e+00
 -5.3590035e-01]"
142,"[-5.9793176e+02  1.0027840e+02 -6.1320877e+00  1.6634903e+01
  3.7711918e+00  1.5858360e+01 -8.8308601e+00 -3.4680350e+00
 -1.5107176e+01  9.2660084e-02 -7.3631530e+00 -6.2234006e+00
  2.0451453e+00]"
143,"[-611.0897      99.17018     -1.4968083   23.32676      2.0354786
   16.854462    -5.288642    -4.4716425  -14.3876295    4.499717
   -6.340574    -6.4591646    2.663398 ]"
144,"[-522.7663      88.64853     -9.65956     -1.8002217   -4.2617373
    5.531561   -11.129886    -9.308632   -19.847933    -9.916851
  -17.66066    -16.061296    -4.151098 ]"
145,"[-480.18832     77.76136    -10.325929     9.865496    -4.467271
    6.746559   -10.369395    -5.177992   -19.768223    -5.097806
  -12.116554   -10.210112    -3.3133898]"
146,"[-439.7457      74.52635     -8.928325     7.7841735    1.5970259
   12.909203    -6.6328125   -2.6756828  -14.44136     -7.2188587
  -11.318392    -7.751705    -1.0544363]"
147,"[-4.6173419e+02  8.9453415e+01 -8.7122355e+00  1.3228347e+01
  9.9105306e-02  1.2462714e+01 -6.0203071e+00 -1.8352201e+00
 -1.4759545e+01 -5.6785564e+00 -1.3765067e+01 -8.6453419e+00
 -2.8823500e+00]"
148,"[-598.28107     99.91638     -2.9742117   26.290897     2.964516
   18.165672   -13.203042     5.59603    -15.379696    -2.0750408
   -5.691439    -3.0373752   -2.5964901]"
149,"[-4.8482883e+02  9.6193771e+01 -1.5871470e+01  1.5280312e+01
  3.4011934e+00  1.1085635e+01 -1.1583324e+01 -1.7499100e-01
 -1.4469061e+01 -5.2210727e+00 -4.3164682e+00 -8.2959719e+00
 -6.1411519e+00]"
150,"[-518.97107    101.19679    -15.166153    17.465115     1.1517454
   12.888331   -10.97188     -1.7710031  -17.52645     -5.7727475
   -5.964802    -6.7765374   -3.9444146]"
151,"[-477.86237     93.03981    -15.63725     14.666299    -3.537503
   11.239238   -13.146284    -4.912038   -17.377638    -4.2709928
   -8.832009    -6.042926    -4.2707863]"
152,"[-290.7089      91.4491     -34.0146      15.544494    -9.631322
   -3.1007092  -14.4367895    5.6835766  -20.219112    -6.231381
   -5.1811967   -7.856285    -8.662888 ]"
153,"[-290.88986     88.91585    -29.297712    16.268429    -6.5332613
    1.8978101  -15.116699     1.9630952  -19.738096    -8.112345
   -4.859805    -7.9595256   -8.376672 ]"
154,"[-3.1258792e+02  8.9252640e+01 -2.7517820e+01  1.4691760e+01
 -1.0698063e+01  1.1334535e-01 -1.6002172e+01  5.9183984e+00
 -1.7718315e+01 -5.6804790e+00 -6.5436349e+00 -6.4630470e+00
 -6.7932911e+00]"
155,"[-273.39243     85.08471    -33.07216     17.590055   -11.646944
   -1.3151658  -18.584568     6.4055433  -19.709494    -4.5290923
  -11.793461    -5.0035133   -6.564786 ]"
156,"[-5.6922272e+02  9.6856728e+01 -9.3000364e+00  2.0966246e+01
 -2.6804421e+00  1.7028536e+01 -9.9282885e+00  5.6409212e-03
 -2.1729616e+01 -2.8481140e+00 -1.9862227e+00 -6.2128568e+00
 -1.5301480e+00]"
157,"[-502.9209     104.24163    -16.279697    17.685396    -3.706539
   15.806874   -14.64555     -3.5831482  -20.144411    -2.9708202
   -4.6734333  -10.24957     -3.2176533]"
158,"[-524.7915      90.45293    -13.057836    20.774483    -4.2205544
   13.357265   -10.219463    -3.814639   -18.537416    -6.102358
   -7.491145    -9.157557    -2.0602198]"
159,"[-541.5819      96.21406    -11.358389    11.439847     3.4580564
   12.659831    -7.0932527   -6.154008   -18.2859      -5.5303216
   -6.8539195   -7.225581     2.6865883]"
160,"[-384.0901     100.94152    -18.132881    16.923948     2.5522196
   20.086035    -5.823573     5.367493   -10.49855      3.4138381
  -11.141211    -3.045288     7.439337 ]"
161,"[-3.2051352e+02  8.7376884e+01 -3.1062626e+01  8.9340410e+00
 -1.1121606e+01  7.9536095e+00 -1.2484526e+01 -1.4878526e+00
 -2.7251991e+01 -5.9374142e+00 -1.2747890e+01 -1.4403442e+01
 -2.6429802e-01]"
162,"[-3.9304404e+02  7.8452171e+01 -1.8810381e+01  1.5508952e+01
 -8.2335005e+00  1.3753475e+01 -5.6229463e+00  3.9219394e+00
 -2.1099045e+01 -3.9863479e+00 -1.1762604e+01 -8.7675714e+00
  2.5369918e-01]"
163,"[-359.8154      81.78849    -29.165918     7.0623946  -13.732366
    9.0846815  -11.026114    -3.410489   -23.341665    -2.7303178
  -16.989407   -10.682223     5.200105 ]"
164,"[-5.40768677e+02  8.79292984e+01 -9.33626938e+00  1.41387043e+01
 -1.19937778e-01  1.56538506e+01 -1.60320644e+01  2.38618207e+00
 -1.29100065e+01 -2.02966809e-01 -7.93907976e+00  4.13830370e-01
 -6.63792193e-01]"
165,"[-5.67033997e+02  9.32056351e+01 -4.95032454e+00  1.61842651e+01
  2.57433653e+00  1.82470379e+01 -1.77415733e+01  4.08008432e+00
 -1.52796545e+01  2.11384311e-01 -8.68740368e+00 -1.78182042e+00
  1.02989781e+00]"
166,"[-5.8772845e+02  6.6677383e+01 -2.2537417e+00  2.0542124e+01
 -7.7271216e-02  1.6508955e+01 -1.2519817e+01  2.5208683e+00
 -1.5825154e+01  7.5863204e+00 -9.7842131e+00  2.3651764e+00
 -1.7717562e+00]"
167,"[-4.9417145e+02  8.6770119e+01 -1.4442272e+01  1.1065796e+01
  5.9922773e-01  1.5735827e+01 -1.6628847e+01  2.9155599e-02
 -2.0226233e+01  1.6969395e+00 -1.2143458e+01 -2.7240297e-01
  1.5930588e+00]"
168,"[-532.5502      90.62879     -8.441097    17.106352     5.7414536
   16.804419   -22.191654     1.7722512  -18.356997     7.607596
  -10.535049     0.6430834   -3.898047 ]"
169,"[-5.2662769e+02  9.6549423e+01 -2.2448401e+00  2.4567907e+01
 -1.9992879e-01  1.6101088e+01 -1.7793520e+01  5.0294604e+00
 -1.6272959e+01  9.0395336e+00 -1.0432095e+01  1.0762520e+00
 -2.6190934e+00]"
170,"[-4.9254526e+02  9.7332008e+01 -1.9373242e+00  1.7202749e+01
 -7.9462166e+00  1.1685723e+01 -1.3681812e+01 -3.7027743e-01
 -1.4502881e+01  6.1977201e+00 -1.4855702e+01 -6.7625999e+00
 -2.7323987e+00]"
171,"[-453.6922      79.73473    -12.973522    15.454537   -10.430501
    6.0167446  -12.832572    -2.1078541  -20.956417     0.7119326
  -14.64384     -4.458584    -7.946293 ]"
172,"[-560.7471      90.61341    -15.685772     3.9941843   -7.1222773
    3.4570591   -9.812517    -4.469332   -21.39293     -3.4690132
   -9.851424    -7.9846296   -1.7838012]"
173,"[-5.5615875e+02  8.2319450e+01 -8.1642427e+00  1.2409076e+01
  9.0226984e-01  1.3982005e+01 -8.2057323e+00  2.0384681e+00
 -1.2301622e+01  3.6033688e+00 -3.4057369e+00 -2.6066844e+00
  3.1087568e-02]"
174,"[-5.8850854e+02  8.5896729e+01 -8.6484718e+00  9.7764778e+00
 -2.2228425e+00  4.3405781e+00 -4.2897410e+00 -2.2015345e+00
 -1.6148867e+01 -1.5668191e+00 -8.4852715e+00 -6.9640441e+00
 -1.5834825e-01]"
175,"[-523.03217     88.29637    -15.347095     5.034419     1.2925767
    6.6107907  -11.502482    -2.3270612  -15.856339     1.823163
   -7.059201    -5.915595     2.031931 ]"
176,"[-4.9913321e+02  8.7551216e+01 -1.4893998e+01  5.6114526e+00
 -3.3179872e+00  2.6557488e+00 -1.5631256e+01 -1.2453406e-01
 -1.6590120e+01 -3.2725203e+00 -7.7128501e+00 -1.1424836e+01
 -3.3712957e+00]"
177,"[-4.5246878e+02  7.3896896e+01 -1.4677614e+01  1.0840105e+01
 -1.5637009e+00  4.9882326e+00 -1.2932167e+01  2.6212355e-01
 -1.2615547e+01 -1.0288155e+00 -1.1657296e+00 -8.6487551e+00
 -1.3146341e+00]"
178,"[-4.4901965e+02  7.4523766e+01 -1.5921803e+01  5.4982314e+00
 -1.4203726e+01  3.8786199e+00 -7.7988725e+00 -5.5713210e+00
 -1.9698915e+01  1.2040893e-01 -6.3345542e+00 -9.7858829e+00
 -4.2289516e-01]"
179,"[-5.4105164e+02  8.2269035e+01 -1.0356618e+01  8.2495670e+00
 -5.3164434e+00  6.2921786e+00 -1.0661977e+01 -1.5995119e+00
 -1.4128635e+01 -4.0565491e-01 -8.7833586e+00 -5.8861747e+00
 -2.7748816e+00]"
180,"[-6.9291180e+02  6.9752846e+01 -9.3710527e+00  1.0564311e+01
 -2.5633478e-01  2.1600578e+00 -1.0773101e+01  1.9895976e+00
 -1.5024276e+01 -6.1692057e+00 -7.1885762e+00 -2.1078484e+00
 -4.2892661e+00]"
181,"[-6.9846710e+02  7.2259453e+01 -8.8617859e+00  1.0050047e+01
 -3.9190404e+00 -3.6511907e-01 -1.3404920e+01  5.8474159e-01
 -1.6315086e+01 -8.5289936e+00 -9.7483215e+00 -3.2034752e+00
 -5.1265583e+00]"
182,"[-7.1155542e+02  6.9735748e+01 -4.6541681e+00  6.3379960e+00
 -4.9523325e+00  1.6178168e+00 -1.0029791e+01  6.9800466e-02
 -1.8010334e+01 -6.3730917e+00 -1.0233803e+01 -3.2985828e+00
 -7.2562742e+00]"
183,"[-722.51825     72.94789     -4.911567    10.550334    -6.944799
    3.0505104  -10.901477     0.8714926  -16.288746    -7.092338
   -9.100273    -3.6386266   -5.781544 ]"
184,"[-6.41171448e+02  8.38768539e+01 -1.10429382e+01  6.84267521e+00
 -5.95629358e+00 -2.68326354e+00 -1.37512245e+01 -2.26638511e-01
 -1.74944878e+01 -8.92640877e+00 -1.10620213e+01 -2.55554223e+00
 -5.68306875e+00]"
185,"[-647.9528       96.5588      -19.836817      5.256364     -5.4117165
    0.9490263   -14.28081      -0.71813035  -17.887224     -6.888097
   -8.3239155    -1.6732322    -4.502023  ]"
186,"[-640.3972      83.3288      -8.165728    12.060468    -6.0835466
    1.013053   -12.347806     1.784922   -19.177868    -6.0239806
  -10.785693    -1.9984235   -4.4562864]"
187,"[-661.95184     82.756584   -10.684386     6.365836    -9.440229
    1.9168624  -11.06102     -1.0229307  -20.680845   -10.35213
   -7.7568164   -3.6949208   -6.653377 ]"
188,"[-639.7594      92.14832    -16.437712     9.434937   -10.471332
    0.726882   -12.629419    -1.2093747  -18.906828    -8.485641
   -9.665859    -3.8878975   -3.6145542]"
189,"[-651.6343      92.595184   -15.046606     6.138967    -4.4172444
    1.7673591  -12.361901    -3.5571868  -19.488241   -10.913271
   -9.709306    -4.390757    -4.650765 ]"
190,"[-5.9172168e+02  9.7715637e+01 -1.8284069e+01  9.0002756e+00
 -8.3609715e+00  1.2285644e+00 -1.3468827e+01 -3.5068443e-01
 -2.6025164e+01 -8.4802628e+00 -6.1259956e+00 -3.0933564e+00
 -6.1578298e+00]"
191,"[-6.2971655e+02  8.3398415e+01 -1.1965807e+01  1.2534997e+01
 -1.1067157e+01 -8.2109608e-02 -1.3553626e+01 -4.4264808e+00
 -2.0330034e+01 -7.9622874e+00 -1.1050088e+01 -3.6166742e+00
 -9.3568182e+00]"
192,"[-6.4902466e+02  7.6225555e+01 -1.7222992e+01  5.1847014e+00
 -1.3407571e+00 -1.7181054e+00 -1.3595234e+01 -1.9952251e-02
 -1.4853797e+01 -8.5454111e+00 -6.1843786e+00 -3.6150167e+00
 -7.8750463e+00]"
193,"[-601.4234       71.27715     -23.94106       3.747043     -1.5293301
   -0.72951376  -17.001         1.2340527   -13.7656975   -12.157696
   -4.8758326    -3.7147274    -7.622109  ]"
194,"[-613.5166       71.90955     -14.82261       8.225619      0.91356665
    1.2294868   -13.652095      3.8376763   -12.490971     -7.5755205
   -6.083706     -5.107477     -4.710958  ]"
195,"[-604.70435      71.37063     -15.946819      4.551278     -0.64775527
    0.8227679   -15.754471      0.6440406   -14.0017605    -9.69073
   -3.2378762    -5.068865     -5.5540204 ]"
196,"[-4.8144656e+02  6.7624603e+01 -3.0942972e+01  2.1847084e+00
 -6.2787104e+00  1.8940668e-01 -1.8153723e+01  2.9849222e+00
 -1.6160021e+01 -1.2242761e+01 -4.9902911e+00 -1.3252816e+00
 -5.3467989e+00]"
197,"[-497.53885     47.62745    -26.64305      1.1154826   -5.5076056
   -2.8462503  -18.062935     4.290276   -13.746348    -8.814689
   -3.716203    -4.116185    -8.238157 ]"
198,"[-512.3813       50.29075     -22.322857      2.1143782    -6.3779197
   -3.325751    -18.082602     -0.82162994  -16.306238    -10.649612
   -6.770194     -4.8699813    -9.280347  ]"
199,"[-4.4488907e+02  5.3831230e+01 -3.3695034e+01  3.0740237e-01
 -9.7980194e+00 -3.0863805e+00 -2.2633423e+01 -2.1717360e+00
 -2.1303638e+01 -9.6890860e+00 -5.4344797e+00 -6.4019899e+00
 -1.0929645e+01]"
200,"[-6.8770453e+02  6.5992928e+01 -3.1089108e+00  1.1826510e+01
  1.9957918e-01  2.9977951e+00 -1.1499577e+01  4.7606931e+00
 -1.2952784e+01 -5.0521479e+00 -9.7625933e+00 -4.3041973e+00
 -4.4954724e+00]"
201,"[-5.98645691e+02  5.84198570e+01 -1.36216202e+01  7.04549885e+00
 -7.76691484e+00  2.51309037e-01 -1.45773821e+01  1.53066123e+00
 -1.43721275e+01 -1.16170025e+01 -6.66636181e+00 -4.39031172e+00
 -6.06220055e+00]"
202,"[-592.1649      58.517353   -16.08257     10.443385    -9.294889
    3.2807553  -20.89193      1.805409   -16.663506   -12.072833
   -7.7069435   -7.1579494   -8.189795 ]"
203,"[-6.0117114e+02  4.5000874e+01 -1.7171013e+01  6.4550867e+00
 -1.2614476e+01  2.5077602e-01 -2.2846081e+01  7.2286528e-01
 -1.5814801e+01 -1.3955656e+01 -5.8560519e+00 -6.2829957e+00
 -8.3896370e+00]"
204,"[-525.7745      53.136322   -30.629717     1.8071226   -9.982472
   -1.3696755  -22.742437    -4.2280054  -17.19001    -15.110406
   -5.3532186   -3.0146668   -7.6147623]"
205,"[-4.8613486e+02  4.4351788e+01 -2.4257439e+01  2.8138812e+00
 -1.3117230e+01 -4.6962323e+00 -1.7881582e+01 -1.5983198e-02
 -1.1559446e+01 -1.1954934e+01 -4.9224367e+00 -1.3398893e+00
 -2.8430643e+00]"
206,"[-440.4661      36.315395   -43.09421     -3.476313   -18.151846
   -7.1016545  -28.443275    -9.079963   -21.572182   -17.355427
   -5.8304186   -6.2756395   -6.6649013]"
207,"[-461.4924      43.079674   -38.540916     1.1520607  -13.530391
   -2.2301235  -27.94031     -3.4976013  -19.069656   -15.061652
   -7.67843     -8.739765    -9.398939 ]"
208,"[-551.73804     62.868755   -14.060654     6.5308647   -5.3041897
   -3.8167348  -12.458691    -1.3002789  -14.335654    -9.561714
   -6.8513236   -5.09711     -4.6706195]"
209,"[-535.69116     55.2134     -16.926882     5.9498043   -6.837912
   -5.794869   -12.339493     1.1249845  -12.749785    -9.88861
   -4.5700355   -4.031953    -4.0670657]"
210,"[-5.5025519e+02  5.1338921e+01 -1.6329065e+01  5.4625249e+00
 -9.7552090e+00 -2.6170952e+00 -1.6572102e+01 -1.1418819e-02
 -1.7210676e+01 -1.0248179e+01 -7.8273973e+00 -5.2848086e+00
 -6.3093300e+00]"
211,"[-5.5824268e+02  6.4698463e+01 -1.7117071e+01  7.4685383e+00
 -8.5812244e+00 -4.1395936e+00 -1.4623776e+01 -3.7012610e-01
 -1.8076536e+01 -1.0054013e+01 -7.3792448e+00 -3.4427078e+00
 -4.3402333e+00]"
212,"[-392.11874     43.45331    -29.088196     4.042753   -12.52361
   -7.5558805  -14.191691     6.278276   -18.367073    -7.055809
   -4.130201    -7.54535     -4.780334 ]"
213,"[-416.75946     50.96289    -28.146156     6.4743524  -13.572604
   -7.911159   -15.377217     2.946571   -19.153278   -10.220584
   -4.0025163   -5.204755    -5.0351872]"
214,"[-383.1673      35.77784    -27.567514     4.4534407  -12.675399
   -5.020366   -21.588516     2.9438138  -22.59632     -9.10367
   -3.8791132   -5.317927    -4.430423 ]"
215,"[-431.75012    38.713814  -30.468773    2.303107  -22.90554    -9.128692
  -20.760557    3.276404  -25.683481   -7.470057   -8.328387   -8.012307
   -5.965317]"
216,"[-562.71234     54.723076   -20.474434     4.385538    -9.403982
   -1.1813034  -12.907772     1.3207431  -16.280909   -13.708543
   -7.372158    -3.0673628   -7.281879 ]"
217,"[-545.56494     57.557743   -26.784672     5.7890515   -6.9702196
   -1.3958973  -17.24159      1.5507228  -16.034674   -10.803361
   -7.6663885   -3.719102    -9.046631 ]"
218,"[-554.98926      53.373764    -17.872814      4.6060624    -6.934358
    1.2061782   -15.434187     -0.89296025  -16.66351     -12.561048
   -6.3445396    -3.3169231    -9.215632  ]"
219,"[-5.5197992e+02  5.1325348e+01 -1.5545921e+01  3.9896345e+00
 -9.1570692e+00 -8.0945313e-02 -1.3651068e+01  2.7998418e-01
 -1.4692521e+01 -1.2667177e+01 -8.6398535e+00 -3.7863121e+00
 -8.1609373e+00]"
220,"[-3.9219168e+02  3.8687702e+01 -3.9706169e+01  1.1188380e+01
 -1.5749964e+01  4.9504972e+00 -1.6449001e+01  3.0886497e+00
 -2.0108398e+01 -1.2160992e+01 -4.2769356e+00  3.4273919e-01
 -3.9600930e+00]"
221,"[-445.64578     40.995308   -25.665249     2.1237602  -12.721942
   -2.4908729  -13.498305     1.2991246  -14.54614    -10.553071
   -9.117735    -4.7995005   -6.8385873]"
222,"[-422.8671      40.389862   -24.226122     0.8113513  -17.856178
   -5.8445134  -16.378567    -2.2812572  -19.052685    -9.410731
   -8.611601    -6.705489    -8.687947 ]"
223,"[-431.9317      37.368546   -23.01757     -1.3798753  -18.260843
   -3.0910635  -19.40788     -0.970286   -17.336967    -8.822144
   -7.4197626   -5.1376085   -7.398511 ]"
224,"[-584.18024     75.19301     -5.790619     8.606628    -7.360953
    3.64516    -11.685521     2.7921798  -10.558684    -6.7686934
  -11.247974    -1.1211038   -5.2122545]"
225,"[-5.7769257e+02  7.9931648e+01 -1.2045374e+01  9.2026491e+00
 -7.2157140e+00  9.5961440e-01 -1.4204226e+01 -5.6556058e+00
 -1.5784666e+01 -9.8122520e+00 -8.9152021e+00 -2.0685957e-01
 -8.0584173e+00]"
226,"[-5.7260126e+02  5.8247288e+01 -7.8180542e+00  2.5558841e+00
 -8.5902948e+00  3.4850013e+00 -1.6683010e+01 -4.4544351e-01
 -1.6011059e+01 -9.4678383e+00 -7.0996156e+00 -4.0294290e+00
 -6.5373998e+00]"
227,"[-549.3044      49.94296     -8.911458     5.0605087   -5.095831
    6.7667384  -16.67606      0.665303   -13.116838    -6.3723164
   -3.2012134   -1.6078233   -6.539277 ]"
228,"[-4.8549924e+02  5.6589527e+01 -1.4933818e+01  1.0792573e+01
 -6.2707453e+00  1.3097213e-01 -1.3143021e+01  1.6957775e+00
 -1.4841339e+01 -1.0622787e+01 -7.6485496e+00 -4.8024292e+00
 -5.3256989e+00]"
229,"[-506.00583      60.830048    -15.416994      8.874985     -9.427468
   -0.70944285  -11.978989     -0.91573757  -11.240519    -10.130983
  -10.73081      -3.462333     -6.9355845 ]"
230,"[-534.68915     57.736454   -13.332838     3.672532   -10.452349
    1.0828607  -16.613195    -3.6512122  -17.473433   -16.685871
  -11.1165695   -3.3820748   -8.291964 ]"
231,"[-505.37308     54.179237   -15.02641      3.1438723  -16.743233
   -1.8370725  -17.442308    -2.9377215  -18.866568   -13.326277
  -11.514613    -3.2007382  -10.357312 ]"
232,"[-6.0741199e+02  5.9838394e+01 -1.4549154e+01  3.0041313e+00
 -5.1131730e+00 -2.2548130e+00 -1.5005891e+01 -4.9476560e-02
 -1.4047390e+01 -9.6527176e+00 -6.4942236e+00 -4.0270824e+00
 -6.3091865e+00]"
233,"[-5.8607233e+02  6.0408291e+01 -1.6631630e+01  3.8112020e+00
 -6.5910616e+00 -3.4242983e+00 -1.5402524e+01  3.0718410e-01
 -1.5267755e+01 -1.0983040e+01 -6.4684973e+00 -3.9498875e+00
 -8.1737547e+00]"
234,"[-550.636       61.32381    -10.858738     4.47444    -11.4353695
   -0.9606864  -19.418139    -1.0087533  -19.281599   -10.539294
   -7.441654    -4.664193    -9.81286  ]"
235,"[-5.5744501e+02  5.9082169e+01 -1.7029234e+01  2.7151449e+00
 -1.2334529e+01 -3.5404899e+00 -1.7821959e+01  4.9202358e-03
 -1.8697081e+01 -1.2864985e+01 -6.1389294e+00 -3.7325258e+00
 -9.8925085e+00]"
